"Banco","Liquidez","Vencimento","Rentabilidade","Rating","Agência de Rating","Aplicação Mínima","Rende mais que a poupança?",
"Fibra","720 dias","11/01/2021","92% CDI","BBB-","Rating","5.000,00","31.43%","Investir"
"Pan","360 dias","17/01/2020","90% CDI","A","Rating","5.000,00","28.57%","Investir"
"Pan","180 dias","21/07/2019","89% CDI","A","Rating","5.000,00","27.14%","Investir"
